대대분류,대분류,중분류,소분류,브랜드,오집 item_code,대산 제품명,제품명,디폴트,옵션 번들명,순서,옵션1 (규격),순서,옵션2 (재단여부),순서,옵션3 (색상),제품 색상,제조사 제품 코드,제품 규격,제품설명,활성,단위,"기본금액
 (VAT포함)",옵션 1 (규격) 추가금,"옵션 2 (재단여부) 
 추가금","옵션 3 (색상) 
 추가금",단위,"기본금액
 (VAT포함)",옵션 1 (규격) 추가금,"옵션 2 (재단여부) 
 추가금","옵션 3 (색상) 
 추가금",추가일,"추가
 완료",비고
,,,,,,,,,,,,,,YL-2,영림159(PW958-1),영림159(PW958-1),,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-2,영림163(PW959),영림163(PW959),,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-2,영림164(PW960),영림164(PW960),,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-2,영림165(PW960-1),영림165(PW960-1),,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-2,영림166(PW960-2),영림166(PW960-2),,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-2,영림171(PW847),영림171(PW847),,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-2,영림172(PW847-1),영림172(PW847-1),,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-2,영림173(PW961),영림173(PW961),,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-2,영림174(PW961-1),영림174(PW961-1),,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-2,영림175발렌블랑(PX449),영림175발렌블랑(PX449),,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-2,영림176발렌베이지(PX449-1),영림176발렌베이지(PX449-1),,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-2,영림177발렌포그(PX449-2),영림177발렌포그(PX449-2),,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-2,영림178발렌디머(PX449-3),영림178발렌디머(PX449-3),,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-2,영림179(PW964),영림179(PW964),,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-2,영림180(PW964-1),영림180(PW964-1),,0,,,,,,,550,,,,,,,,
