대대분류,대분류,중분류,소분류,브랜드,오집 item_code,대산 제품명,제품명,디폴트,옵션 번들명,순서,옵션1 (규격),순서,옵션2 (재단여부),순서,옵션3 (색상),제품 색상,제조사 제품 코드,제품 규격,제품설명,활성,단위,"기본금액
 (VAT포함)",옵션 1 (규격) 추가금,"옵션 2 (재단여부) 
 추가금","옵션 3 (색상) 
 추가금",단위,"기본금액
 (VAT포함)",옵션 1 (규격) 추가금,"옵션 2 (재단여부) 
 추가금","옵션 3 (색상) 
 추가금",추가일,"추가
 완료",비고,,,대대분류,대분류,중분류,소분류,브랜드,제품명
,,,,,,,,,,,,,,베이직,예림83 HW1028 클래식오크,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,예림84 HWB1013 샤인오크,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,예림86 HWB1022 스트라이프우드,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,예림87 HWB1029 퓨어오크,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,예림88 HWB1012 쉬머오크,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,예림93 HF2201 코트니브라운,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,예림94 HF2202 코트니베이지,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,예림98 HW1016 프렌치오크,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,예림99 HWB1017 마일드워시오크,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,예림100 HWB1003 소프트워시오크,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,예림102 HW1025 빈티지오크,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,예림104 HW1010 버치,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,예림124 HWB1062 워시그레이,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,예림125 HWB1052 애쉬브라운,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,예림126 HW1021 리얼오크,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,예림128 HW1002 심플그레인,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,예림129 HW1001 클리어오크,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,예림130 HW1009 브러쉬오크소프트,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,예림131 HW1020 브러쉬오크마일드,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,예림136 HF2005 패브릭베이지,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,예림137 HF2206 패브릭네이비,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,HF2207 위브그레이,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,HF2208 위브브라운,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,HF2209 수틸화이트,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,HF2210 수틸그레이,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,HN2003 솔리드스톤그레이,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,HN2004 솔리드스톤브라운,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,HN2010 유로 스톤포그화이트,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,HN2011 유로 스톤모데나크림,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,HN2012 유로 스톤샌드,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,HN2013 유로 스톤멜란지,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,HPW23 카카오월넛,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,HW1066 딥브라운월넛,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,HW1067 로즈탄오크,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,베이직,HW1068 새들탄오크,,,,,,,,,,660,,,,,,,,,,,,,,,,
