,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,20%,20%,40%,,,,,25%,,30%,,45%,,,,,,,,,,,,,,,
,,┏베스트┓,"┏베이직,솔리드┓","┏HP,메탈릭┓",┏매트┓,,,,┏베스트┓,"┏베이직,솔리드┓",,"┏메탈릭,HP┓",,┏매트┓,,,,,,,,,,,,,,,
브랜드,상품명,매입가,단가,단가,단가,,브랜드,상품명,공급가,단가,차액,단가,차액,단가,차액,,,베스트,,베이직,,솔리드,,HP,,메탈릭,,매트,
,라운드 걸레받이 60*9 ,"2,800","3,360","3,360","3,920",,,라운드 걸레받이 60*9 ,"3,520","4,400",880,"4,620","1,100","5,170","1,650",,베스트,HPW22 피넛오크,베이직,예림93 HF2201 코트니브라운,솔리드,HS045 쥬시옐로우,,,,,,,
,라운드 걸레받이 70*9,"3,000","3,600","3,600","4,200",,,라운드 걸레받이 70*9,"3,850","4,840",990,"5,060","1,210","5,610","1,760",,베스트,HPW35 던오크,베이직,예림94 HF2202 코트니베이지,솔리드,HS048 올리브그레이,,,,,,,
,라운드 걸레받이 80*9,"3,200","3,840","3,840","4,480",,,라운드 걸레받이 80*9,"4,070","5,170","1,100","5,390","1,320","5,940","1,870",,,,베이직,예림98 HW1016 프렌치오크,솔리드,HS049 오렌지퍼시먼,,,,,,,
,라운드 걸레받이 90*9,"3,500","4,200","4,200","4,900",,,라운드 걸레받이 90*9,"4,400","5,500","1,100","5,720","1,320","6,380","1,980",,,,베이직,예림99 HWB1017 마일드워시오크,솔리드,HS050 바나나크림,,,,,,,
,■ PVC 래핑,,,,,,,■ PVC 래핑,,,,,,,,,,,베이직,예림100 HWB1003 소프트워시오크,솔리드,HS051 스모키코리아,,,,,,,
,PVC 래핑 30평,"2,500","3,000","3,000","3,500",,,PVC 래핑 30평,"3,190","4,070",880,"4,180",990,"4,730","1,540",,,,베이직,예림102 HW1025 빈티지오크,솔리드,HP505 위스퍼화이트,,,,,,,
,PVC 래핑 40평,"3,300","3,960","3,960","4,620",,,PVC 래핑 40평,"4,180","5,280","1,100","5,500","1,320","6,160","1,980",,,,베이직,예림104 HW1010 버치,솔리드,HS053 코지화이트,,,,,,,
,PVC 래핑 60평,"4,100","4,920","4,920","5,740",,,PVC 래핑 60평,"5,170","6,490","1,320","6,820","1,650","7,590","2,420",,,,베이직,예림124 HWB1062 워시그레이,솔리드,HP505 청백페인트,,,,,,,
,PVC 래핑 80평,"5,900","7,080","7,080","8,260",,,PVC 래핑 80평,"7,480","9,350","1,870","9,790","2,310","10,890","3,410",,,,베이직,예림125 HWB1052 애쉬브라운,솔리드,PW-02 HP507 베이지페인트,,,,,,,
,PVC 래핑 100평,"6,700","8,040","8,040","9,380",,,PVC 래핑 100평,"8,470","10,670","2,200","11,110","2,640","12,320","3,850",,,,베이직,예림126 HW1021 리얼오크,솔리드,PW-03 HP508 웜그레이페인트,,,,,,,
,PVC 래핑 마이너스,"3,600","4,320","4,320","5,040",,,PVC 래핑 마이너스,"4,510","5,720","1,210","5,940","1,430","6,600","2,090",,,,베이직,예림128 HW1002 심플그레인,솔리드,PW-04 HP513 브라운페인트,,,,,,,
,PVC 래핑 2계단(소) 30*12,"3,700","4,440","4,440","5,180",,,PVC 래핑 2계단(소) 30*12,"4,730","5,940","1,210","6,160","1,430","6,930","2,200",,,,베이직,예림129 HW1001 클리어오크,솔리드,PW-05 HP514 딥그레이페인트,,,,,,,
,PVC 래핑 2계단(대) 40*15,"4,300","5,160","5,160","6,020",,,PVC 래핑 2계단(대) 40*15,"5,390","6,820","1,430","7,040","1,650","7,920","2,530",,,,베이직,예림130 HW1009 브러쉬오크소프트,솔리드,PW-07 HP516 미드그레이페인트,,,,,,,
,■ PVC 백색,,,,,,,■ PVC 백색,,,,,,,,,,,베이직,예림131 HW1020 브러쉬오크마일드,솔리드,PW-08 HP517 매트블랙페인트,,,,,,,
,PVC 백색 30평,"1,700","2,040","2,040","2,380",,,PVC 백색 30평,"2,310",,,,,,,,,,베이직,예림136 HF2005 패브릭베이지,솔리드,PWH-01 HP518 화이트헤링본,,,,,,,
,PVC 백색 40평,"2,300","2,760","2,760","3,220",,,PVC 백색 40평,"3,190",,,,,,,,,,베이직,예림137 HF2206 패브릭네이비,솔리드,PWH-02 HP519 토피넛헤링본,,,,,,,
,PVC 백색 60평,"2,800","3,360","3,360","3,920",,,PVC 백색 60평,"3,850",,,,,,,,,,베이직,HF2207 위브그레이,솔리드,PWH-03 HP520 미드블루헤링본,,,,,,,
,PVC 백색 80평,"4,000","4,800","4,800","5,600",,,PVC 백색 80평,"5,500",,,,,,,,,,베이직,HF2208 위브브라운,,,,,,,,,
,PVC 백색 100평,"4,600","5,520","5,520","6,440",,,PVC 백색 100평,"6,270",,,,,,,,,,베이직,HF2209 수틸화이트,,,,,,,,,
,PVC 백색 마이너스,"2,400","2,880","2,880","3,360",,,PVC 백색 마이너스,"3,300",,,,,,,,,,베이직,HF2210 수틸그레이,,,,,,,,,
,PVC 백색 2계단(소) 30*12,"2,400","2,880","2,880","3,360",,,PVC 백색 2계단(소) 30*12,"3,300",,,,,,,,,,베이직,HN2003 솔리드스톤그레이,,,,,,,,,
,PVC 백색 2계단(대) 40*15,"2,500","3,000","3,000","3,500",,,PVC 백색 2계단(대) 40*15,"3,410",,,,,,,,,,베이직,HN2004 솔리드스톤브라운,,,,,,,,,
,■ PVC 히든 몰딩,,,,,,,■ PVC 히든 몰딩,,,,,,,,,,,베이직,HN2010 유로 스톤포그화이트,,,,,,,,,
,PVC 백색 히든몰딩 50*12.4*2400,"3,300","3,960","3,960","4,620",,,PVC 백색 히든몰딩 50*12.4*2400,"4,510",,,,,,,,,,베이직,HN2011 유로 스톤모데나크림,,,,,,,,,
,PVC 백색 히든몰딩 50*12.4*3000,"3,900","4,680","4,680","5,460",,,PVC 백색 히든몰딩 50*12.4*3000,"5,280",,,,,,,,,,베이직,HN2012 유로 스톤샌드,,,,,,,,,
,■ 코너 몰딩(AL),,,,,,,■ 코너 몰딩(AL),,,,,,,,,,,베이직,HN2013 유로 스톤멜란지,,,,,,,,,
,30 아웃코너 라운드 53*53*2400,"21,000","25,200","25,200","29,400",,,30 아웃코너 라운드 53*53*2400,"28,380",,,,,,,,,,베이직,HPW23 카카오월넛,,,,,,,,,
,60 아웃코너 라운드 83*83*2400,"33,000","39,600","39,600","46,200",,,60 아웃코너 라운드 83*83*2400,"44,550",,,,,,,,,,베이직,HW1066 딥브라운월넛,,,,,,,,,
